loan_tier,Settlement Date,count_in_tier
Tier 2,2023-10-02 00:00:00.000000,2
Tier 2,2023-10-03 00:00:00.000000,1
Tier 2,2023-10-04 00:00:00.000000,1
Tier 2,2023-10-05 00:00:00.000000,1
Tier 2,2023-10-06 00:00:00.000000,1
Tier 2,2023-10-09 00:00:00.000000,2
Tier 2,2023-10-10 00:00:00.000000,4
Tier 2,2023-10-11 00:00:00.000000,2
Tier 2,2023-10-12 00:00:00.000000,2
Tier 2,2023-10-13 00:00:00.000000,2
Tier 2,2023-10-18 00:00:00.000000,1
Tier 2,2023-10-24 00:00:00.000000,1
Tier 2,2023-10-25 00:00:00.000000,2
Tier 2,2023-10-27 00:00:00.000000,1
Tier 2,2023-10-30 00:00:00.000000,1
Tier 3,2023-10-02 00:00:00.000000,3
Tier 3,2023-10-03 00:00:00.000000,2
Tier 3,2023-10-04 00:00:00.000000,2
Tier 3,2023-10-05 00:00:00.000000,3
Tier 3,2023-10-06 00:00:00.000000,2
Tier 3,2023-10-09 00:00:00.000000,4
Tier 3,2023-10-10 00:00:00.000000,2
Tier 3,2023-10-11 00:00:00.000000,2
Tier 3,2023-10-12 00:00:00.000000,1
Tier 3,2023-10-13 00:00:00.000000,1
Tier 3,2023-10-16 00:00:00.000000,1
Tier 3,2023-10-17 00:00:00.000000,3
Tier 3,2023-10-24 00:00:00.000000,3
Tier 3,2023-10-25 00:00:00.000000,3
Tier 3,2023-10-27 00:00:00.000000,3
Tier 4,2023-10-04 00:00:00.000000,1
Tier 4,2023-10-05 00:00:00.000000,1
Tier 4,2023-10-17 00:00:00.000000,4
Tier 4,2023-10-23 00:00:00.000000,3
Tier 4,2023-10-24 00:00:00.000000,2
Tier 4,2023-10-25 00:00:00.000000,4
Tier 4,2023-10-26 00:00:00.000000,4
Tier 4,2023-10-27 00:00:00.000000,4
